,time,open,high,low,close,tick_volume,spread,real_volume
0,1704067500,103.2818,103.5447,103.2818,103.5247,30,2907,0
1,1704067560,103.5247,103.5662,103.3757,103.5562,26,2987,0
2,1704067620,103.5362,103.6727,103.5162,103.6727,18,2967,0
3,1704067680,103.6727,103.7047,103.6477,103.6797,25,2927,0
4,1704067740,103.6847,103.6947,103.5947,103.6147,20,2927,0
5,1704067800,103.6047,103.6047,103.4127,103.4498,42,2727,0
6,1704067860,103.4507,103.4807,103.3837,103.4177,31,2367,0
7,1704067920,103.4177,103.4177,103.3622,103.3867,26,1987,0
8,1704067980,103.3447,103.3447,102.8483,103.0112,45,1991,0
9,1704068040,103.0112,103.0762,103.0112,103.0652,14,2537,0
10,1704068100,103.0962,103.1562,102.9162,103.0062,24,2337,0
11,1704068160,103.0062,103.0062,102.8305,102.8455,28,2537,0
12,1704068220,102.8455,102.8455,102.5559,102.7059,49,2651,0
13,1704068280,102.7059,102.7159,102.4064,102.4204,38,3143,0
14,1704068340,102.4204,102.6757,102.331,102.6457,28,3667,0
15,1704068400,102.6507,102.7807,102.5537,102.7807,25,3657,0
16,1704068460,102.7447,102.8107,102.6757,102.8107,15,3657,0
17,1704068520,102.7807,102.8857,102.7107,102.7107,20,3687,0
18,1704068580,102.6907,102.7007,102.5755,102.6215,23,3671,0
19,1704068640,102.6117,102.6117,102.4947,102.5547,26,3457,0
20,1704068700,102.5447,102.5987,102.4357,102.5987,33,3277,0
21,1704068760,102.5987,102.6972,102.5987,102.6872,23,2997,0
22,1704068820,102.6872,102.7592,102.6672,102.6673,29,2855,0
23,1704068880,102.6502,102.8425,102.6362,102.8025,32,2501,0
24,1704068940,102.8025,102.8725,102.7875,102.8025,15,2451,0
25,1704069000,102.8025,102.8865,102.7675,102.8515,29,1821,0
26,1704069060,102.8415,102.8436,102.7825,102.8136,23,2071,0
27,1704069120,102.8036,102.8036,102.6886,102.6936,23,2029,0
