,time,open,high,low,close,tick_volume,spread,real_volume
0,1706419800,243.05,243.08,243.05,243.08,3,133,0
1,1706419860,243.08,243.09,243.01,243.01,4,132,0
2,1706419920,243.01,243.01,242.89,242.9,4,126,0
3,1706419980,242.9,243.09,242.9,243.09,6,124,0
4,1706420040,243.09,243.09,242.89,242.92,4,133,0
5,1706420100,242.92,242.92,242.92,242.92,1,139,0
6,1706420160,242.92,242.92,242.78,242.81,5,132,0
7,1706420220,242.83,242.83,242.83,242.83,1,132,0
8,1706420280,242.83,242.83,242.83,242.83,1,132,0
9,1706420340,242.83,242.83,242.83,242.83,1,132,0
10,1706420400,242.83,242.85,242.83,242.85,2,130,0
11,1706420460,242.85,242.95,242.85,242.95,6,135,0
12,1706420520,242.98,242.98,242.91,242.91,2,129,0
13,1706420580,242.91,242.94,242.91,242.94,2,130,0
14,1706420640,242.94,242.94,242.91,242.94,3,130,0
15,1706420700,242.94,242.94,242.91,242.91,2,130,0
16,1706420760,242.81,242.97,242.81,242.97,8,110,0
17,1706420820,242.97,242.98,242.97,242.98,2,135,0
18,1706420880,242.98,242.98,242.88,242.88,3,131,0
19,1706420940,242.88,242.88,242.88,242.88,1,132,0
20,1706421000,242.88,242.88,242.88,242.88,1,134,0
21,1706421060,242.88,243.18,242.88,243.18,3,115,0
22,1706421120,243.18,243.18,243.08,243.08,2,125,0
23,1706421180,243.08,243.32,243.08,243.32,11,132,0
24,1706421240,243.32,243.32,243.32,243.32,1,132,0
25,1706421300,243.32,243.51,243.32,243.51,7,122,0
26,1706421360,243.51,243.54,243.51,243.54,2,134,0
27,1706421420,243.54,243.62,243.54,243.62,3,135,0
28,1706421480,243.62,243.62,243.62,243.62,1,134,0
29,1706421540,243.62,243.78,243.62,243.77,4,138,0
30,1706421600,243.77,243.88,243.77,243.88,4,143,0
31,1706421660,243.88,243.88,243.67,243.67,4,128,0
32,1706421720,243.67,243.67,243.67,243.67,1,139,0
33,1706421780,243.67,244.01,243.67,244.01,8,138,0
34,1706421840,244.03,244.03,243.76,243.76,5,119,0
35,1706421900,243.77,243.99,243.77,243.99,10,135,0
36,1706421960,243.99,244.02,243.99,244.01,4,140,0
37,1706422020,244.01,244.01,243.55,243.55,8,121,0
38,1706422080,243.46,243.46,243.26,243.29,6,121,0
39,1706422140,243.3,243.3,243.3,243.3,1,132,0
40,1706422200,243.3,243.37,243.16,243.16,7,116,0
41,1706422260,243.16,243.34,243.16,243.34,4,123,0
42,1706422320,243.34,243.38,243.34,243.38,4,116,0
43,1706422380,243.38,243.4,243.27,243.4,8,123,0
44,1706422440,243.4,243.4,243.18,243.2,6,114,0
45,1706422500,243.2,243.32,243.2,243.2,7,124,0
46,1706422560,243.2,243.26,243.2,243.26,6,130,0
47,1706422620,243.26,243.57,243.25,243.25,6,116,0
48,1706422680,243.25,243.32,243.25,243.32,5,126,0
49,1706422740,243.32,243.33,243.28,243.31,5,123,0
50,1706422800,243.31,243.32,243.25,243.25,3,122,0
51,1706422860,243.16,243.2,243.16,243.19,5,124,0
52,1706422920,243.19,243.34,243.19,243.34,5,137,0
53,1706422980,243.34,243.35,243.34,243.35,2,138,0
54,1706423040,243.36,243.37,243.36,243.37,2,136,0
55,1706423100,243.37,243.37,243.37,243.37,1,136,0
56,1706423160,243.37,243.37,243.3,243.3,2,136,0
57,1706423220,243.3,243.34,243.3,243.34,4,138,0
58,1706423280,243.34,243.4,243.34,243.4,3,144,0
59,1706423340,243.4,243.45,243.4,243.45,3,139,0
60,1706423400,243.38,243.51,243.38,243.51,5,131,0
61,1706423460,243.51,243.51,243.36,243.36,2,122,0
62,1706423520,243.36,243.36,243.36,243.36,1,123,0
63,1706423580,243.36,243.43,243.36,243.43,3,138,0
64,1706423640,243.43,243.46,243.43,243.46,3,124,0
65,1706423700,243.46,243.46,243.37,243.37,2,122,0
66,1706423760,243.37,243.53,243.37,243.53,4,137,0
67,1706423820,243.54,243.63,243.54,243.56,4,126,0
68,1706423880,243.56,243.73,243.56,243.73,5,133,0
69,1706423940,243.73,243.83,243.73,243.82,5,136,0
70,1706424000,243.82,243.95,243.82,243.86,7,126,0
71,1706424060,243.86,243.86,243.86,243.86,1,135,0
72,1706424120,243.86,243.89,243.86,243.89,2,135,0
73,1706424180,243.89,243.9,243.89,243.9,2,148,0
74,1706424240,243.9,244,243.9,244,4,138,0
75,1706424300,244,244.19,244,244.1,11,127,0
76,1706424360,244.1,244.11,244.1,244.11,2,148,0
77,1706424420,244.11,244.23,244.11,244.18,11,133,0
78,1706424480,244.17,244.18,244.17,244.17,5,138,0
79,1706424540,244.17,244.18,244.17,244.18,2,138,0
80,1706424600,244.18,244.24,244.18,244.24,2,132,0
81,1706424660,244.24,244.24,244.21,244.21,2,110,0
82,1706424720,244.21,244.21,243.9,243.94,7,110,0
83,1706424780,243.95,244.08,243.95,244.08,7,120,0
84,1706424840,244.08,244.14,244.08,244.14,5,137,0
85,1706424900,244.14,244.15,244.14,244.15,2,136,0
86,1706424960,244.15,244.49,244.15,244.48,11,113,0
87,1706425020,244.49,245.16,244.49,244.79,15,119,0
88,1706425080,244.8,244.96,244.8,244.96,8,136,0
89,1706425140,244.96,244.96,244.61,244.64,10,115,0
90,1706425200,244.64,244.89,244.64,244.89,7,133,0
91,1706425260,244.89,244.89,244.76,244.76,2,141,0
92,1706425320,244.76,244.76,244.12,244.31,15,135,0
93,1706425380,244.31,244.31,244.12,244.22,11,142,0
94,1706425440,244.22,244.37,244.22,244.37,8,147,0
95,1706425500,244.56,244.57,244.28,244.36,12,125,0
96,1706425560,244.36,244.36,244.16,244.28,10,137,0
97,1706425620,244.29,244.29,244.16,244.16,6,128,0
98,1706425680,244.16,244.2,244.16,244.2,9,136,0
99,1706425740,244.23,244.27,244.23,244.27,4,130,0
100,1706425800,244.29,244.29,244.17,244.2,5,135,0
101,1706425860,244.2,244.2,244,244.1,5,142,0
102,1706425920,244.1,244.24,244.1,244.24,5,120,0
103,1706425980,244.24,244.24,244.12,244.15,4,110,0
104,1706426040,244.15,244.18,244.15,244.18,3,119,0
105,1706426100,244.18,244.19,244.18,244.19,2,135,0
106,1706426160,244.15,244.29,244.15,244.29,5,135,0
107,1706426220,244.27,244.27,244.18,244.19,3,137,0
108,1706426280,244.2,244.31,244.2,244.31,6,129,0
109,1706426340,244.31,244.39,244.31,244.39,6,129,0
110,1706426400,244.39,244.39,244.3,244.3,2,113,0
111,1706426460,244.3,244.3,244.3,244.3,1,113,0
112,1706426520,244.3,244.3,244.15,244.19,4,113,0
113,1706426580,244.19,244.19,244.19,244.19,1,129,0
114,1706426640,244.08,244.15,243.99,243.99,8,122,0
115,1706426700,243.99,244.02,243.99,244.02,3,129,0
116,1706426760,244.02,244.09,243.86,243.86,5,126,0
117,1706426820,243.86,243.86,243.47,243.59,8,126,0
118,1706426880,243.61,243.61,243.55,243.55,2,122,0
119,1706426940,243.55,243.55,243.55,243.55,1,133,0
120,1706427000,243.55,243.58,243.55,243.58,2,130,0
121,1706427060,243.58,243.58,243.46,243.46,3,130,0
122,1706427120,243.46,243.46,243.33,243.33,3,132,0
123,1706427180,243.34,243.37,243.24,243.24,6,134,0
124,1706427240,243.24,243.24,243.06,243.06,10,133,0
125,1706427300,243.03,243.03,242.92,242.92,3,137,0
126,1706427360,242.92,242.99,242.92,242.96,4,133,0
127,1706427420,242.97,242.97,242.86,242.89,6,134,0
128,1706427480,242.89,242.89,242.66,242.66,4,118,0
129,1706427540,242.57,242.58,242.34,242.37,7,118,0
130,1706427600,242.4,242.54,242.27,242.31,11,114,0
