,time,open,high,low,close,tick_volume,spread,real_volume
0,1701105060,224.37,224.39,224.26,224.33,9,142,0
1,1701105120,224.3,224.31,223.89,223.89,6,139,0
2,1701105180,223.91,224.14,223.91,224.13,9,135,0
3,1701105240,224.07,224.23,224.07,224.16,8,127,0
4,1701105300,224.09,224.37,224.09,224.37,10,135,0
5,1701105360,224.37,224.51,224.34,224.34,9,135,0
6,1701105420,224.34,224.56,224.2,224.29,11,141,0
7,1701105480,224.34,224.43,224.34,224.42,4,130,0
8,1701105540,224.42,224.43,224.15,224.18,7,140,0
9,1701105600,224.18,224.24,224.17,224.18,7,138,0
10,1701105660,224.18,224.18,223.98,224.09,11,138,0
11,1701105720,224.1,224.29,224.06,224.13,12,137,0
12,1701105780,224.08,224.19,224.08,224.16,8,133,0
13,1701105840,224.21,224.23,224.09,224.12,8,129,0
14,1701105900,224.12,224.22,223.97,224.0,11,130,0
15,1701105960,224.0,224.09,223.87,223.89,11,136,0
16,1701106020,223.9,223.99,223.9,223.99,3,133,0
17,1701106080,223.99,224.02,223.91,224.02,6,133,0
18,1701106140,224.02,224.09,224.02,224.09,3,140,0
19,1701106200,224.09,224.2,223.84,224.2,10,138,0
20,1701106260,224.16,224.16,223.85,223.99,10,136,0
21,1701106320,223.99,224.07,223.77,223.87,4,131,0
22,1701106380,223.87,223.87,223.87,223.87,1,133,0
23,1701106440,223.87,223.87,223.53,223.75,9,133,0
24,1701106500,223.75,223.84,223.6,223.68,5,142,0
25,1701106560,223.68,223.84,223.68,223.84,7,138,0
26,1701106620,223.84,223.86,223.72,223.81,10,131,0
27,1701106680,223.82,224.0,223.82,223.96,8,134,0
28,1701106740,223.96,224.07,223.96,224.07,4,135,0
29,1701106800,224.07,224.08,224.07,224.07,3,134,0
30,1701106860,224.07,224.07,223.9,223.98,10,135,0
31,1701106920,223.99,223.99,223.87,223.88,3,137,0
32,1701106980,223.88,223.88,223.7,223.84,7,135,0
33,1701107040,223.78,223.98,223.78,223.87,9,130,0
34,1701107100,223.87,223.87,223.69,223.69,8,137,0
35,1701107160,223.69,223.69,223.48,223.53,9,146,0
36,1701107220,223.53,223.53,223.53,223.53,1,139,0
37,1701107280,223.53,223.53,223.34,223.38,3,136,0
38,1701107340,223.38,223.38,223.22,223.24,3,144,0
39,1701107400,223.24,223.24,222.62,222.94,15,140,0
40,1701107460,222.94,222.97,222.87,222.97,9,137,0
41,1701107520,222.9,223.15,222.9,223.09,7,128,0
42,1701107580,223.09,223.17,223.09,223.17,8,146,0
43,1701107640,223.17,223.37,223.17,223.37,5,137,0
44,1701107700,223.37,223.37,222.96,223.06,11,132,0
45,1701107760,223.06,223.06,222.66,222.69,9,138,0
46,1701107820,222.69,222.73,222.26,222.73,9,133,0
47,1701107880,222.73,222.73,222.56,222.72,9,132,0
48,1701107940,222.72,222.72,222.49,222.49,6,134,0
49,1701108000,222.49,222.67,222.26,222.67,7,122,0
50,1701108060,222.68,222.89,222.47,222.76,14,136,0
51,1701108120,222.76,223.16,222.51,223.16,9,138,0
52,1701108180,223.16,223.26,222.87,223.17,6,138,0
53,1701108240,223.17,223.24,223.17,223.17,9,139,0
54,1701108300,223.17,223.18,223.17,223.17,3,141,0
55,1701108360,223.16,223.3,223.16,223.3,6,133,0
56,1701108420,223.17,223.36,223.17,223.36,7,137,0
57,1701108480,223.37,223.57,223.37,223.37,7,135,0
58,1701108540,223.37,223.38,223.37,223.38,2,153,0
