,time,open,high,low,close,tick_volume,spread,real_volume
0,1700913000,227.02,227.08,226.98,226.98,5,148,0
1,1700913060,226.98,226.99,226.78,226.92,6,153,0
2,1700913120,226.98,226.98,226.88,226.98,6,149,0
3,1700913180,227,227,227,227,1,149,0
4,1700913240,227,227,227,227,1,149,0
5,1700913300,226.9,226.98,226.9,226.98,5,151,0
6,1700913360,226.95,226.95,226.78,226.9,5,149,0
7,1700913420,226.98,226.98,226.96,226.96,2,136,0
8,1700913480,226.96,226.96,226.96,226.96,1,136,0
9,1700913540,226.98,226.98,226.96,226.98,3,146,0
10,1700913600,226.89,226.89,226.83,226.83,2,143,0
11,1700913660,226.83,226.88,226.83,226.84,3,144,0
12,1700913720,226.84,226.84,226.84,226.84,1,148,0
13,1700913780,226.84,226.9,226.78,226.85,6,142,0
14,1700913840,226.89,226.89,226.88,226.88,2,150,0
15,1700913900,226.88,226.88,226.74,226.78,7,148,0
16,1700913960,226.74,226.78,226.74,226.78,7,148,0
17,1700914020,226.78,226.84,226.78,226.84,2,148,0
18,1700914080,226.84,226.84,226.84,226.84,1,153,0
19,1700914140,226.84,226.88,226.84,226.86,3,149,0
20,1700914200,226.78,226.86,226.78,226.86,3,151,0
21,1700914260,226.8,226.8,226.68,226.77,4,154,0
22,1700914320,226.77,226.78,226.77,226.77,5,153,0
23,1700914380,226.77,226.77,226.7,226.7,2,142,0
24,1700914440,226.61,226.65,226.61,226.65,2,147,0
25,1700914500,226.65,226.65,226.65,226.65,1,147,0
26,1700914560,226.65,226.69,226.65,226.69,2,143,0
27,1700914620,226.58,226.76,226.58,226.65,8,144,0
28,1700914680,226.65,226.68,226.58,226.61,4,147,0
29,1700914740,226.61,226.61,226.31,226.31,5,146,0
30,1700914800,226.31,226.37,226.27,226.3,6,152,0
31,1700914860,226.3,226.44,226.3,226.44,3,146,0
32,1700914920,226.44,226.46,226.17,226.32,10,143,0
33,1700914980,226.32,226.34,226.32,226.34,2,148,0
34,1700915040,226.34,226.34,226.34,226.34,1,148,0
35,1700915100,226.34,226.37,226.34,226.34,3,149,0
36,1700915160,226.35,226.38,226.35,226.38,2,147,0
37,1700915220,226.38,226.45,226.28,226.45,6,147,0
38,1700915280,226.48,226.48,226.33,226.33,2,140,0
39,1700915340,226.33,226.33,226.28,226.29,3,143,0
40,1700915400,226.29,226.29,226.21,226.21,4,142,0
41,1700915460,226.21,226.28,226.07,226.07,5,143,0
42,1700915520,226.15,226.17,225.97,226.05,12,142,0
43,1700915580,226.05,226.05,225.87,225.98,8,149,0
44,1700915640,225.99,226.06,225.99,226.06,3,146,0
45,1700915700,226.06,226.07,225.82,226.07,10,146,0
46,1700915760,225.97,225.97,225.97,225.97,1,150,0
47,1700915820,225.87,225.97,225.77,225.77,5,147,0
48,1700915880,225.8,225.97,225.8,225.91,5,145,0
49,1700915940,225.91,225.97,225.91,225.91,3,152,0
50,1700916000,225.92,225.97,225.87,225.97,4,150,0
51,1700916060,225.97,225.97,225.37,225.91,8,145,0
52,1700916120,225.91,225.97,225.82,225.82,5,143,0
53,1700916180,225.77,225.77,225.57,225.73,4,149,0
54,1700916240,225.67,225.68,225.59,225.6,5,148,0
55,1700916300,225.67,225.74,225.67,225.74,2,149,0
56,1700916360,225.67,225.8,225.67,225.8,4,150,0
57,1700916420,225.8,225.91,225.77,225.91,8,141,0
58,1700916480,225.98,225.98,225.78,225.86,5,138,0
59,1700916540,225.94,225.94,225.94,225.94,1,138,0
60,1700916600,225.94,225.94,225.68,225.75,4,138,0
61,1700916660,225.75,225.78,225.58,225.75,9,145,0
62,1700916720,225.75,225.83,225.68,225.83,4,145,0
63,1700916780,225.83,225.83,225.83,225.83,1,147,0
64,1700916840,225.83,225.83,225.71,225.78,4,146,0
65,1700916900,225.78,225.85,225.78,225.85,2,145,0
66,1700916960,225.85,225.91,225.78,225.82,8,141,0
67,1700917020,225.82,225.89,225.82,225.89,2,148,0
68,1700917080,225.82,225.92,225.68,225.92,4,133,0
69,1700917140,225.92,225.98,225.92,225.98,2,144,0
70,1700917200,225.98,225.99,225.98,225.99,2,148,0
71,1700917260,226.05,226.08,226.05,226.08,4,148,0
72,1700917320,226.08,226.08,226.08,226.08,1,148,0
73,1700917380,226.08,226.08,226.08,226.08,1,148,0
74,1700917440,226.08,226.15,226.08,226.15,4,148,0
75,1700917500,226.07,226.16,226.07,226.16,3,146,0
76,1700917560,226.07,226.14,225.97,226.09,6,149,0
77,1700917620,226.09,226.09,226.09,226.09,1,149,0
78,1700917680,226.09,226.09,225.98,226.05,5,149,0
79,1700917740,226.05,226.05,226.05,226.05,1,153,0
80,1700917800,226.08,226.16,226.08,226.16,3,146,0
81,1700917860,226.16,226.16,226.16,226.16,1,146,0
82,1700917920,226.16,226.16,226.16,226.16,1,146,0
83,1700917980,226.16,226.16,226.08,226.15,3,146,0
84,1700918040,226.15,226.15,226.09,226.09,2,141,0
85,1700918100,226.09,226.15,226,226.15,3,137,0
86,1700918160,226.15,226.15,226.09,226.09,2,144,0
87,1700918220,226.08,226.08,225.98,226.06,3,145,0
88,1700918280,226.06,226.06,225.88,225.88,5,142,0
89,1700918340,225.82,225.82,225.27,225.8,15,147,0
90,1700918400,225.8,225.89,225.58,225.65,14,143,0
91,1700918460,225.57,225.64,225.57,225.57,5,147,0
92,1700918520,225.57,225.67,225.47,225.47,6,146,0
93,1700918580,225.47,225.67,225.47,225.67,10,155,0
94,1700918640,225.67,225.77,225.59,225.71,9,148,0
95,1700918700,225.67,225.67,225.37,225.57,12,148,0
96,1700918760,225.57,225.67,225.57,225.59,5,151,0
97,1700918820,225.61,225.67,225.61,225.67,2,148,0
98,1700918880,225.67,225.74,225.67,225.74,2,148,0
99,1700918940,225.74,225.79,225.74,225.77,4,144,0
100,1700919000,225.68,225.88,225.67,225.77,12,149,0
101,1700919060,225.77,225.78,225.71,225.71,3,145,0
102,1700919120,225.78,225.78,225.68,225.78,4,144,0
103,1700919180,225.81,225.81,225.75,225.75,3,144,0
104,1700919240,225.81,225.81,225.71,225.71,2,145,0
105,1700919300,225.68,225.78,225.6,225.66,5,146,0
106,1700919360,225.68,225.68,225.52,225.52,4,146,0
107,1700919420,225.48,225.48,225.28,225.44,6,139,0
108,1700919480,225.44,225.44,225.37,225.38,3,149,0
109,1700919540,225.37,225.37,225.27,225.32,3,156,0
110,1700919600,225.32,225.37,225.17,225.23,7,150,0
111,1700919660,225.27,225.27,225.07,225.07,10,155,0
112,1700919720,225.07,225.24,224.99,225.17,12,149,0
113,1700919780,225.13,225.18,224.97,225.08,10,152,0
114,1700919840,225.07,225.07,224.87,225.04,7,149,0
115,1700919900,224.97,225.23,224.97,225.23,8,148,0
116,1700919960,225.23,225.37,225.07,225.27,10,148,0
117,1700920020,225.17,225.27,225.17,225.17,7,151,0
118,1700920080,225.17,225.28,224.67,225.28,8,142,0
119,1700920140,225.28,225.42,225.27,225.37,8,148,0
120,1700920200,225.17,225.53,225.17,225.47,7,140,0
121,1700920260,225.47,225.51,225.37,225.45,9,142,0
122,1700920320,225.47,225.53,225.47,225.53,2,148,0
123,1700920380,225.54,225.58,225.54,225.58,2,145,0
124,1700920440,225.58,225.75,225.57,225.75,5,138,0
125,1700920500,225.75,225.75,225.57,225.62,6,138,0
126,1700920560,225.62,225.65,225.62,225.65,3,148,0
127,1700920620,225.65,225.65,225.65,225.65,1,152,0
128,1700920680,225.67,225.77,225.57,225.58,7,145,0
129,1700920740,225.57,225.69,225.57,225.69,4,153,0
130,1700920800,225.69,225.69,225.48,225.67,6,146,0
131,1700920860,225.67,225.67,225.6,225.67,3,146,0
132,1700920920,225.67,225.69,225.67,225.69,2,144,0
133,1700920980,225.69,225.7,225.69,225.7,2,142,0
134,1700921040,225.72,225.78,225.57,225.78,10,153,0
135,1700921100,225.78,225.85,225.78,225.85,3,147,0
136,1700921160,225.85,225.88,225.78,225.78,5,144,0
137,1700921220,225.85,226.05,225.85,225.97,6,147,0
138,1700921280,226,226.12,225.82,226.12,8,148,0
139,1700921340,226.07,226.13,225.97,226.13,3,140,0
140,1700921400,226.13,226.17,226.07,226.17,8,150,0
141,1700921460,226.15,226.17,226.15,226.17,2,156,0
142,1700921520,226.17,226.2,226.17,226.2,3,153,0
143,1700921580,226.26,226.39,226.17,226.32,6,141,0
144,1700921640,226.37,226.54,226.37,226.54,8,147,0
145,1700921700,226.54,226.54,226.45,226.45,3,149,0
146,1700921760,226.54,226.67,226.47,226.66,8,147,0
147,1700921820,226.66,226.87,226.63,226.81,8,137,0
148,1700921880,226.81,227.17,226.81,227.16,8,143,0
149,1700921940,227.16,227.35,226.95,227.05,14,156,0
150,1700922000,227.05,227.12,226.9,227.08,9,157,0
151,1700922060,227.08,227.15,227.02,227.15,6,153,0
152,1700922120,227.15,227.25,227.05,227.12,8,150,0
153,1700922180,227.28,227.35,227.26,227.35,4,149,0
154,1700922240,227.35,227.42,227.35,227.42,2,149,0
155,1700922300,227.49,227.57,227.27,227.36,11,145,0
156,1700922360,227.36,227.43,227.16,227.16,7,144,0
157,1700922420,227.16,227.23,227.16,227.23,3,146,0
158,1700922480,227.23,227.29,227.16,227.16,3,145,0
159,1700922540,227.23,227.37,227.16,227.31,11,145,0
160,1700922600,227.38,227.46,227.16,227.2,13,148,0
161,1700922660,227.2,227.28,227.2,227.28,4,149,0
162,1700922720,227.28,227.34,227.17,227.34,3,148,0
163,1700922780,227.27,227.37,227.27,227.3,3,149,0
164,1700922840,227.3,227.3,227.23,227.29,3,150,0
165,1700922900,227.29,227.29,227.11,227.17,6,146,0
166,1700922960,227.17,227.23,227.17,227.23,4,149,0
167,1700923020,227.29,227.29,227.18,227.28,4,153,0
168,1700923080,227.28,227.28,226.97,227.08,8,142,0
169,1700923140,226.97,227.11,226.97,227.09,8,149,0
170,1700923200,227.1,227.14,227.1,227.14,3,151,0
171,1700923260,227.14,227.14,227.06,227.06,2,144,0
172,1700923320,227.11,227.11,226.87,226.88,9,141,0
173,1700923380,226.97,226.98,226.93,226.98,4,147,0
174,1700923440,226.91,226.97,226.87,226.87,3,150,0
175,1700923500,226.88,226.89,226.88,226.89,2,150,0
176,1700923560,226.89,226.94,226.77,226.94,6,144,0
177,1700923620,226.81,226.86,226.77,226.79,6,150,0
178,1700923680,226.81,226.81,226.61,226.67,4,149,0
179,1700923740,226.67,226.89,226.67,226.83,6,144,0
180,1700923800,226.77,226.77,226.68,226.68,2,145,0
181,1700923860,226.68,226.84,226.68,226.84,4,148,0
182,1700923920,226.86,226.93,226.77,226.88,5,140,0
183,1700923980,226.88,227.05,226.88,227.05,9,142,0
184,1700924040,226.95,226.95,226.34,226.78,11,141,0
185,1700924100,226.78,226.87,226.78,226.87,5,147,0
186,1700924160,226.78,226.88,226.78,226.88,6,146,0
187,1700924220,226.88,226.98,226.88,226.98,4,146,0
188,1700924280,226.98,226.98,226.78,226.79,3,146,0
189,1700924340,226.79,226.88,226.68,226.88,5,144,0
190,1700924400,226.83,226.88,226.68,226.88,7,145,0
191,1700924460,226.88,226.88,226.88,226.88,1,145,0
192,1700924520,226.77,226.8,226.64,226.68,7,142,0
193,1700924580,226.73,226.74,226.73,226.74,2,148,0
194,1700924640,226.74,226.84,226.74,226.84,4,144,0
195,1700924700,226.84,226.98,226.78,226.89,7,140,0
196,1700924760,226.88,226.88,226.88,226.88,1,144,0
197,1700924820,226.88,226.92,226.84,226.88,7,144,0
198,1700924880,226.88,226.98,226.88,226.95,5,147,0
199,1700924940,226.95,226.95,226.81,226.88,5,147,0
200,1700925000,226.88,226.88,226.88,226.88,1,147,0
201,1700925060,226.78,226.78,226.7,226.7,2,143,0
202,1700925120,226.7,226.78,226.63,226.78,4,137,0
203,1700925180,226.68,226.85,226.68,226.85,5,144,0
204,1700925240,226.85,226.98,226.78,226.78,3,136,0
205,1700925300,226.78,226.78,226.58,226.61,4,143,0
206,1700925360,226.68,226.68,226.61,226.67,3,148,0
207,1700925420,226.67,226.78,226.67,226.78,4,138,0
208,1700925480,226.58,226.66,226.48,226.6,5,144,0
209,1700925540,226.6,226.68,226.48,226.68,10,142,0
210,1700925600,226.78,226.78,226.48,226.68,4,135,0
211,1700925660,226.51,226.58,226.51,226.58,2,145,0
212,1700925720,226.51,226.54,226.51,226.54,3,149,0
213,1700925780,226.48,226.58,226.41,226.41,6,138,0
214,1700925840,226.47,226.47,226.37,226.47,3,132,0
215,1700925900,226.32,226.47,226.31,226.31,4,138,0
216,1700925960,226.31,226.36,226.17,226.36,6,150,0
217,1700926020,226.37,226.57,226.37,226.48,6,138,0
218,1700926080,226.48,226.57,226.41,226.48,5,138,0
219,1700926140,226.48,226.58,226.48,226.52,4,139,0
220,1700926200,226.52,226.52,226.45,226.45,3,142,0
221,1700926260,226.46,226.58,226.46,226.58,2,137,0
222,1700926320,226.58,226.68,226.48,226.54,6,133,0
223,1700926380,226.54,226.54,226.48,226.5,4,147,0
224,1700926440,226.5,226.58,226.48,226.58,6,143,0
225,1700926500,226.68,226.68,226.58,226.68,4,148,0
226,1700926560,226.68,226.68,226.68,226.68,1,148,0
227,1700926620,226.78,226.78,226.68,226.68,2,132,0
228,1700926680,226.68,226.78,226.68,226.78,2,138,0
229,1700926740,226.68,226.78,226.68,226.78,2,138,0
230,1700926800,226.68,226.72,226.68,226.72,2,150,0
231,1700926860,226.68,226.79,226.68,226.79,3,151,0
232,1700926920,226.79,226.88,226.72,226.88,5,144,0
233,1700926980,226.81,226.88,226.78,226.78,3,145,0
