,time,open,high,low,close,tick_volume,spread,real_volume
0,1703923500,278.72,279.52,278.72,279.52,37,157,0
1,1703923560,279.62,280.89,279.24,280.69,25,152,0
2,1703923620,280.69,281.86,280.38,281.56,22,167,0
3,1703923680,281.55,281.57,280.86,281.16,16,159,0
4,1703923740,281.16,281.16,280.3,280.3,8,158,0
5,1703923800,279.95,280.46,279.95,280.45,15,154,0
6,1703923860,280.45,281.05,280,280.95,20,150,0
7,1703923920,280.98,281.3,280.57,280.77,11,147,0
8,1703923980,280.95,280.96,279.47,279.96,23,136,0
9,1703924040,279.96,281.46,279.75,280.96,16,144,0
10,1703924100,281.09,281.48,280.79,280.9,13,143,0
11,1703924160,280.69,281.36,280.69,281.36,8,157,0
12,1703924220,281.36,281.48,280.8,280.84,9,164,0
13,1703924280,280.84,280.87,280.42,280.42,9,157,0
14,1703924340,280.42,281.54,280.17,281.53,23,126,0
15,1703924400,281.52,281.53,281.27,281.48,9,139,0
16,1703924460,281.48,281.49,280.95,281.44,14,137,0
17,1703924520,281.45,281.54,281.17,281.25,9,151,0
18,1703924580,281.04,281.55,280.84,281.55,12,141,0
19,1703924640,281.64,281.64,280.48,281.04,17,153,0
20,1703924700,281.05,281.14,280.56,280.74,18,128,0
21,1703924760,280.75,281.47,280.75,281.47,8,133,0
22,1703924820,281.47,282.64,281.18,282.63,17,129,0
23,1703924880,282.93,283.22,282.24,282.24,30,133,0
24,1703924940,282.24,282.49,281.93,282.12,22,126,0
25,1703925000,282.12,282.12,280.33,280.45,29,128,0
26,1703925060,280.45,281.62,280.45,281.22,35,137,0
27,1703925120,281.23,281.52,281.13,281.43,10,135,0
28,1703925180,281.54,281.83,281.12,281.42,9,137,0
29,1703925240,281.42,281.52,280,280,18,126,0
30,1703925300,280,280.83,279.11,279.21,34,185,0
31,1703925360,279.21,279.81,278.94,279.31,24,189,0
32,1703925420,279.31,280.89,279.31,280.89,33,181,0
33,1703925480,280.61,281.41,280.01,281.41,31,189,0
34,1703925540,281.51,281.71,281.11,281.51,42,199,0
35,1703925600,281.42,282.21,281.34,282.11,24,189,0
36,1703925660,282.11,283.3,282.11,283.3,22,199,0
37,1703925720,283.4,284.28,283.4,284.18,27,205,0
38,1703925780,284.18,284.28,283.08,283.08,38,205,0
39,1703925840,283.08,283.88,282.18,283.28,22,205,0
40,1703925900,283.28,283.98,282.58,283.68,27,195,0
41,1703925960,283.58,283.58,282.98,283.48,21,205,0
42,1703926020,283.58,284.67,283.58,284.47,37,205,0
43,1703926080,284.17,284.27,283.27,283.77,45,207,0
44,1703926140,283.57,284.57,283.57,284.37,28,207,0
